target,Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,37.34905382,0,1562.965594,5.965673491,1.978646111,0.859358982,80.49636019,3.877319621,2.04899532,2.147704046,4202.370388,5340.264426,-1.89089449,22.90754692,4.05393384,3.068804078,0.767590727,11.17895334,3.366071306,2.122307511,-1.934303293,2.11117288,0.286722767,4.58663799
0,36.93269672,0,910.7553977,17.25015168,3.421271792,0.686449254,63.78501742,1.683369029,4.736294088,2.963847341,11162.36071,-15311.46646,-4.665913946,13.08209658,3.325690189,3.313852807,0.4529416,27.20899709,3.940117258,3.091832028,22.0626068,11.31104006,-0.052185976,15.25721143
0,47.05852639,0,602.9196899,7.277793965,3.372699439,2.963311166,72.18329632,2.475762111,3.61306448,4.784666069,2061.209824,5311.400927,11.05640173,13.69011035,2.820614792,-0.100710246,2.461643555,14.8612295,1.665493813,3.418948008,1.412240879,12.17975556,7.383727581,9.343970244
0,28.73963548,0,983.1274777,12.70076964,3.260058005,1.206000262,31.23104687,2.958328221,3.973842817,3.201544678,7642.253642,16314.49064,1.098298802,21.34684117,4.238700464,2.351217178,0.371095209,-0.705744231,0.454887632,3.279943684,5.629776137,2.170397908,2.775002543,5.533673231
0,47.38382634,0,962.408702,10.25985368,1.755735615,3.450844426,80.39779069,0.685824019,0.688483161,3.74443947,-1792.752983,9324.659313,5.847003354,13.2678484,3.198341433,1.805007832,-0.785130446,10.75315151,5.122912547,2.312513392,-3.319124387,2.381256495,-0.188012284,1.999352663
0,17.69496124,0,798.5492513,14.35546981,2.78339857,1.938336735,53.16744421,3.386127417,2.276301663,4.445971123,2004.672022,3931.062593,1.970621015,8.583531732,3.17740189,3.343379257,0.368250465,12.92894879,5.83493383,2.43553853,8.923265942,2.185392245,1.862656195,3.672633021
0,46.0979341,0,668.9085166,29.12000094,3.224066248,1.556217291,23.08615193,1.95810062,1.949082349,1.550497325,-5237.075282,15633.6989,3.037290749,12.98715502,3.578158479,3.125150323,0.803435253,13.43707397,1.955249039,2.349974539,10.3060383,4.01212219,5.798760927,5.661509914
0,31.11555365,0,1425.426865,9.855214525,4.253658465,4.709490516,68.49164788,2.75537469,-0.324758087,2.901198778,-5841.964979,13331.50947,0.900070564,10.06607847,3.462419946,0.713696479,0.460023105,0.182889314,1.080501408,1.914833202,-2.255003837,6.20442335,-3.511173082,7.641442329
0,31.22864484,0,1170.888303,-6.907779336,1.321146201,4.714928672,87.13249247,0.927636031,1.088406374,3.866730441,-8003.949108,17916.81083,-2.200199796,10.26036255,3.517336793,2.695748379,3.408911719,-3.497417887,3.514872231,3.533530819,2.160220583,-1.081466434,-0.63287751,2.685358376
0,31.81134113,0,905.3314554,26.16905043,4.232553096,0.843760857,95.87719414,3.143253302,1.342932053,3.469076422,1960.282646,33401.45813,-1.182332152,8.645752058,3.076178034,2.398517148,0.834734644,13.66602759,3.226315833,3.97513072,16.07229015,10.01192676,6.525299298,9.299572787
0,36.12689213,0,456.9274388,-1.661978848,2.315675615,4.991959487,38.10785451,1.827747316,2.471607032,3.61295285,5471.459937,19520.99162,3.039032047,17.46144176,2.385603476,3.220240326,2.211116336,14.43587353,-1.888290293,2.58898619,0.72476437,3.620362488,6.6902659,6.80914792
0,29.77762494,0,856.3706345,4.168472989,0.769200019,3.035333032,125.3055602,1.635667084,1.976304331,4.84239503,6677.96568,15198.59887,5.593977088,13.63640168,2.805535367,4.640441637,2.311784809,18.91103298,1.414637801,3.876934059,1.70226194,-5.105727634,3.034232689,-3.571034417
0,41.59814073,0,1269.325262,23.88147782,3.147132037,3.22982485,78.37520697,2.297249517,2.845973167,3.160972305,13789.67757,7936.493845,0.694902726,19.27411557,2.83172101,1.790583892,-0.146504125,30.0251063,3.333540122,1.599066689,21.33964284,4.835460245,4.678350385,9.199968421
0,27.50793155,0,443.0956205,14.61511334,1.369690692,1.992983618,93.25109506,3.201100998,0.379054069,3.022240906,6641.066892,20265.59274,1.364539016,10.64151061,3.482220303,0.111575776,1.723209527,11.87004981,5.540898466,2.81208059,10.42298449,7.244633778,7.074607486,2.562137687
0,36.78053912,0,1302.091793,13.82013954,3.936633008,3.119179385,22.96777578,4.306206873,0.654503134,2.60587261,-1359.391938,12374.0635,1.217660587,15.24878353,2.588867362,3.810491139,0.303312677,8.613324185,4.049213591,2.545908126,6.357193745,4.702807638,-0.375667365,7.136216434
0,34.1057341,0,224.789369,11.62251682,3.31027414,2.832311453,79.46885601,2.834177233,0.392416577,2.328415307,4627.083289,-3364.882349,0.20258073,9.380372105,3.292746461,4.300057555,1.335257006,9.004706106,6.536604083,1.881812567,3.570229598,7.668226953,4.428135009,2.552168317
0,47.37605885,0,-237.9203074,24.96522755,4.211074345,4.107730166,56.18196481,4.739802651,5.132375384,1.952441691,24640.06097,29069.41559,2.727877755,20.32322473,2.663629444,0.891024679,1.834402755,38.98093764,0.746038441,3.257695963,5.99540374,10.85847801,0.026157733,7.076792856
0,22.42368872,0,870.5584294,5.669594744,4.319313167,2.707023565,83.11917587,4.203819252,1.108091283,3.645694377,8779.50332,24508.30998,2.160038111,14.61299822,2.743234472,3.804597825,0.758246379,-9.204528613,2.199690334,3.152115892,11.33801804,2.447315013,-0.884307568,-0.414386764
0,34.78581724,0,1432.791276,28.75103617,2.73385589,2.410727076,60.49841258,3.777290851,1.311669021,4.490600054,978.8094796,18453.72095,1.311531265,11.91336024,2.763953683,2.253614697,1.288483383,9.835749176,3.393838338,2.853037799,-1.846040462,2.161484921,1.707710505,1.798589255
0,40.77995318,0,966.9504889,13.17737188,0.87790329,3.475917938,97.27930192,3.632552521,1.273501821,2.704496613,8812.112149,24428.99653,7.135340687,21.82582803,2.887925059,2.834862866,0.648721968,7.360519102,3.349103136,3.088761126,12.70693604,5.466688524,-2.911117704,3.706433122
0,39.31411774,0,733.4818242,4.11603025,3.786653685,3.216053738,37.64539932,2.60061797,1.055914609,0.422175409,-1048.556231,7564.215776,1.31180612,13.93945,3.14448501,1.149012957,0.162112939,10.65012122,1.450492345,2.666385932,10.83688862,3.977367769,6.908550336,8.518587987
0,42.94739704,0,434.2170183,13.00374001,4.625911642,2.42403868,32.77324638,2.451986119,2.011244954,2.140187716,8808.128842,10361.93219,6.668617198,14.36724331,2.75230402,4.345621051,-0.244578284,31.18361801,2.343656055,3.502792777,12.84872813,6.713853559,-1.626219788,7.122914212
0,40.42082651,0,1728.887557,17.17099557,1.209351965,1.457634201,92.23941136,3.295260855,1.687514165,2.129212336,5830.274642,19545.618,0.822980635,16.12092318,3.44665339,3.194454278,-0.000689388,14.29628607,3.554545283,1.651164877,18.13817883,-0.728812026,4.112256497,2.112353321
0,27.32469572,0,1290.130859,4.11927205,2.291860514,4.280225713,88.23628647,3.148412879,0.306759659,3.514730461,6031.96901,8588.367794,2.580250847,15.91633564,3.144891035,4.169296314,-0.194157381,13.75018994,1.019723895,1.947168975,8.826018891,2.155629911,-1.110912184,6.224242525
0,27.79096867,0,154.538057,3.690539036,3.416294757,2.909198794,61.85236728,2.361781825,1.736853105,1.066568321,1309.095138,27895.11383,-0.364381454,11.07429829,3.182207453,3.174302404,2.070536498,3.337277708,4.234884705,2.886326193,1.035186173,-0.63409182,-1.041557035,4.499220565
0,41.92861444,0,627.3337391,21.95176161,1.700988272,3.452737232,20.03322369,2.499111544,1.940572877,4.656052164,4310.09254,1689.639897,-0.837301352,16.79410931,4.322685479,4.519839833,0.006949165,2.5339165,2.170996678,1.213752878,-0.774827164,-2.412458954,5.78550785,2.730254106
