"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
0.738095238095238,"No","Travel_Frequently",NA,"Research & Development",0.25,0,"Life Sciences",0.666666666666667,"Male",0.442857142857143,0.333333333333333,0.25,"Research Scientist",0.333333333333333,"Married",NA,NA,0.111111111111111,"No",0.857142857142857,1,1,0.333333333333333,0.294117647058824,0.5,0.666666666666667,0.4,0.466666666666667,0.0909090909090909,0.5
0.357142857142857,"No","Travel_Frequently",NA,"Research & Development",0.0714285714285714,0.75,"Life Sciences",1,"Female",0.371428571428571,0.666666666666667,0,"Research Scientist",0.666666666666667,"Married",NA,NA,0.111111111111111,"Yes",0,0,0.666666666666667,0,0.235294117647059,0.5,0.666666666666667,0.32,0.466666666666667,0.272727272727273,0
0.214285714285714,"No","Travel_Rarely",NA,"Research & Development",0.0357142857142857,0,"Medical",0,"Male",0.142857142857143,0.666666666666667,0,"Laboratory Technician",0.333333333333333,"Married",NA,NA,1,"No",0.0714285714285714,0,1,0.333333333333333,0.176470588235294,0.5,0.666666666666667,0.08,0.133333333333333,0.181818181818182,0.142857142857143
0.333333333333333,"No","Travel_Frequently",NA,"Research & Development",0.0357142857142857,0.25,"Life Sciences",1,"Male",0.7,0.666666666666667,0,"Laboratory Technician",1,"Single",NA,NA,0,"No",0.142857142857143,0,0.666666666666667,0,0.235294117647059,0.333333333333333,0.333333333333333,0.28,0.466666666666667,0.272727272727273,0.428571428571429
0.976190476190476,"No","Travel_Rarely",NA,"Research & Development",0.0714285714285714,0.5,"Medical",0.666666666666667,"Female",0.728571428571429,1,0,"Laboratory Technician",0,"Married",NA,NA,0.444444444444444,"Yes",0.642857142857143,1,0,1,0.352941176470588,0.5,0.333333333333333,0.04,0,0,0
0.285714285714286,"No","Travel_Rarely",NA,"Research & Development",0.821428571428571,0,"Life Sciences",1,"Male",0.528571428571429,0.666666666666667,0,"Laboratory Technician",0.666666666666667,"Divorced",NA,NA,0.111111111111111,"No",0.785714285714286,1,0.333333333333333,0.333333333333333,0.0294117647058824,0.333333333333333,0.666666666666667,0.04,0,0,0
0.476190476190476,"No","Travel_Frequently",NA,"Research & Development",0.785714285714286,0.5,"Life Sciences",1,"Male",0.2,0.333333333333333,0.5,"Manufacturing Director",0.666666666666667,"Single",NA,NA,0,"No",0.714285714285714,1,0.333333333333333,0,0.294117647058824,0.333333333333333,0.666666666666667,0.36,0.466666666666667,0.0909090909090909,0.571428571428571
0.428571428571429,"No","Travel_Rarely",NA,"Research & Development",0.928571428571429,0.5,"Medical",0.666666666666667,"Male",0.914285714285714,0.666666666666667,0.25,"Healthcare Representative",0.666666666666667,"Married",NA,NA,0.666666666666667,"No",0.142857142857143,0,0.333333333333333,0.666666666666667,0.5,0.5,0.333333333333333,0.28,0.466666666666667,0.636363636363636,0.5
0.404761904761905,"No","Travel_Rarely",NA,"Research & Development",0.535714285714286,0.5,"Medical",0,"Male",0.771428571428571,1,0,"Laboratory Technician",0.333333333333333,"Married",NA,NA,0,"No",0.142857142857143,0,0.666666666666667,0.333333333333333,0.176470588235294,0.833333333333333,0.666666666666667,0.2,0.266666666666667,0,0.214285714285714
0.261904761904762,"No","Travel_Rarely",NA,"Research & Development",0.5,0.25,"Life Sciences",1,"Female",0.271428571428571,0.333333333333333,0.25,"Laboratory Technician",0.666666666666667,"Single",NA,NA,0,"Yes",0.0714285714285714,0,1,0,0.294117647058824,0.5,0.666666666666667,0.36,0.333333333333333,0,0.571428571428571
0.30952380952381,"No","Travel_Rarely",NA,"Research & Development",0.892857142857143,0,"Life Sciences",0,"Male",0.0142857142857143,0.666666666666667,0,"Research Scientist",0.666666666666667,"Divorced",NA,NA,0.111111111111111,"No",0.428571428571429,0,1,0.333333333333333,0.147058823529412,0.166666666666667,0.333333333333333,0.2,0.133333333333333,0.363636363636364,0.214285714285714
0.380952380952381,"No","Travel_Rarely",NA,"Research & Development",0.642857142857143,0.25,"Medical",0.333333333333333,"Male",0.9,0.666666666666667,0,"Laboratory Technician",1,"Divorced",NA,NA,0,"No",0,0,0.666666666666667,0.333333333333333,0.0882352941176471,0.333333333333333,0.666666666666667,0.08,0.133333333333333,0.0909090909090909,0.142857142857143
0.261904761904762,"No","Travel_Rarely",NA,"Research & Development",0.714285714285714,0.75,"Life Sciences",0.333333333333333,"Female",0.3,1,0.5,"Manufacturing Director",0,"Divorced",NA,NA,0.111111111111111,"No",0,0,0.666666666666667,0.333333333333333,0.294117647058824,0.166666666666667,0.666666666666667,0.4,0.6,0.727272727272727,0.571428571428571
0.333333333333333,"No","Travel_Rarely",NA,"Research & Development",0.142857142857143,0.25,"Life Sciences",0,"Male",0.714285714285714,1,0,"Research Scientist",0.333333333333333,"Divorced",NA,NA,0,"Yes",0.0714285714285714,0,1,0.666666666666667,0.205882352941176,0.833333333333333,0.333333333333333,0.24,0.133333333333333,0,0.357142857142857
0.0952380952380952,"No","Non-Travel",NA,"Research & Development",0.535714285714286,0.25,"Medical",1,"Male",0.942857142857143,1,0,"Laboratory Technician",1,"Divorced",NA,NA,0.111111111111111,"Yes",0.142857142857143,0,0.333333333333333,0.666666666666667,0.0294117647058824,0.333333333333333,0.333333333333333,0.04,0,0,0
0.833333333333333,"No","Travel_Rarely",NA,"Sales",0.0357142857142857,0.75,"Life Sciences",0,"Female",0.685714285714286,0.333333333333333,0.75,"Manager",1,"Married",NA,NA,0.222222222222222,"No",0.357142857142857,0,0.666666666666667,0,0.911764705882353,0.5,0.666666666666667,1,0.533333333333333,0.272727272727273,0.5
0.476190476190476,"No","Travel_Rarely",NA,"Research & Development",0.0357142857142857,0.5,"Life Sciences",1,"Male",0.214285714285714,0.666666666666667,0,"Research Scientist",1,"Single",NA,NA,0.555555555555556,"Yes",0,0,0.666666666666667,0,0.176470588235294,0.5,0.666666666666667,0.12,0.133333333333333,0.0909090909090909,0.142857142857143
0.142857142857143,"No","Non-Travel",NA,"Research & Development",0.357142857142857,0.25,"Other",0,"Female",0.942857142857143,1,0.25,"Manufacturing Director",0.666666666666667,"Divorced",NA,NA,0,"No",0.5,0,1,0.333333333333333,0.147058823529412,0.833333333333333,0.333333333333333,0.16,0.133333333333333,0.0909090909090909,0.214285714285714
0.380952380952381,"No","Travel_Rarely",NA,"Research & Development",0.214285714285714,0.75,"Life Sciences",0,"Female",0.328571428571429,0.666666666666667,0.5,"Research Director",0.333333333333333,"Single",NA,NA,0,"No",0,0,0.666666666666667,0,0.382352941176471,0.666666666666667,0.666666666666667,0.48,0.4,0.181818181818182,0.785714285714286
0.0714285714285714,"No","Travel_Rarely",NA,"Research & Development",0.5,0.25,"Life Sciences",0.666666666666667,"Male",0.942857142857143,0.666666666666667,0,"Research Scientist",1,"Single",NA,NA,0.111111111111111,"No",0.214285714285714,0,1,0,0,1,0.666666666666667,0,0,0,0
0.833333333333333,"No","Travel_Rarely",NA,"Research & Development",0.142857142857143,0.5,"Other",0.666666666666667,"Female",0.4,0.666666666666667,1,"Manager",0.666666666666667,"Divorced",NA,NA,0.444444444444444,"No",0,0,1,0.333333333333333,0.764705882352941,0.5,0.333333333333333,0.56,0.866666666666667,0.363636363636364,0.571428571428571
